Title,Summary,Author,Narrator
Atomic Habits,An Easy and Proven Way to Build Good Habits and Break Bad Ones,James Clear,James Clear
The Psychology of Money,"Timeless Lessons on Wealth, Greed, and Happiness",Morgan Housel,Chris Hill
The Courage to Be Disliked ,"How to Free Yourself, Change Your Life and Achieve Real Happiness",Fumitake Koga,Adrian Mulraney
The Subtle Art of Not Giving a F*ck,A Counterintuitive Approach to Living a Good Life,Mark Manson,Roger Wayne
How to Talk to Anyone,92 Little Tricks for Big Success in Relationships,Leil Lowndes,Joyce Bean
Rich Dad Poor Dad,What the Rich Teach Their Kids About Money - That the Poor and Middle Class Do Not!,Robert T. Kiyosaki,Tim Wheeler
Ikigai,The Japanese Secret to a Long and Happy Life,Héctor García,Naoko Mori
Can't Hurt Me,Master Your Mind and Defy the Odds,David Goggins,David Goggins
Sapiens,,Yuval Noah Harari,Derek Perkins
Life's Amazing Secrets,How to Find Balance and Purpose in Your Life,Gaur Gopal Das,Gaur Gopal Das
"Thinking, Fast and Slow",,Daniel Kahneman,Patrick Egan
Will,,Will Smith,Will Smith
Never Split the Difference,Negotiating as if Your Life Depended on It,Chris Voss,Michael Kramer
The Almanack of Naval Ravikant,A Guide to Wealth and Happiness,Eric Jorgenson,Vikas Adam
The Intelligent Investor Rev Ed.,,Benjamin Graham,Luke Daniels
Tools of Titans,"The Tactics, Routines, and Habits of Billionaires, Icons, and World-Class Performers",Tim Ferriss,Ray Porter
21 Lessons for the 21st Century,,Yuval Noah Harari,Derek Perkins
Zero to One,,Peter Thiel,Blake Masters
"I Know What to Do, So Why Don't I Do It?",The New Science of Self-Discipline,Nick Hall,Nick Hall
Hyperfocus,,Chris Bailey,Chris Bailey
